category,template_name,template_key,accuracy,qwk,mse,mae,samples_processed,samples_skipped,error
3_Dm_F,few_shot,few_shot,0.5291479820627802,0.22465683966535077,0.8609865470852018,0.600896860986547,223,0,
3_Dm_Kons,zero_shot,zero_shot,0.5369458128078818,0.4108156558111742,0.6699507389162561,0.5320197044334976,203,0,
3_Dm_Kons,few_shot,few_shot,0.5615763546798029,0.3819502321704965,0.8817733990147784,0.5862068965517241,203,0,
3_Dm_Qual,zero_shot,zero_shot,0.12556053811659193,0.03008817921830309,1.9641255605381165,1.2376681614349776,223,0,
3_Dm_Qual,few_shot,few_shot,0.3183856502242152,0.04007793561249695,1.704035874439462,1.0224215246636772,223,0,
3_Dm_Quan,zero_shot,zero_shot,0.6116071428571429,0.2813005038501758,0.6026785714285714,0.45982142857142855,224,0,
3_Dm_Quan,few_shot,few_shot,0.7589285714285714,0.352165725047081,0.5758928571428571,0.35267857142857145,224,0,
3_E_T_IV,zero_shot,zero_shot,0.2765957446808511,0.20503417097740828,0.7702127659574468,0.7390070921985815,705,0,
3_E_T_IV,few_shot,few_shot,0.7787234042553192,0.5461772517016374,0.25957446808510637,0.23404255319148937,705,0,
4_D_Ep,zero_shot,zero_shot,0.7547568710359408,0.6123330234378823,0.2832980972515856,0.25792811839323465,473,0,
4_D_Ep,few_shot,few_shot,0.7547568710359408,0.6229718958113702,0.3276955602536998,0.2727272727272727,473,0,
4_Dm_Ep,zero_shot,zero_shot,0.5963302752293578,0.5218280165254057,0.4724770642201835,0.42660550458715596,218,0,
4_Dm_Ep,few_shot,few_shot,0.6330275229357798,0.5567398655879456,0.43577981651376146,0.38990825688073394,218,0,
4_E_T_IV,zero_shot,zero_shot,0.7671232876712328,0.3826727262267734,0.3356164383561644,0.2671232876712329,438,0,
4_E_T_IV,few_shot,few_shot,0.728310502283105,0.4090642807690259,0.3470319634703196,0.2968036529680365,438,0,
5_D_Ma,zero_shot,zero_shot,0.9172185430463576,0.16724114159658088,0.13245033112582782,0.09933774834437085,302,0,
5_D_Ma,few_shot,few_shot,0.9172185430463576,0.25478099938309684,0.13245033112582782,0.09933774834437085,302,0,
5_D_Mk,zero_shot,zero_shot,0.6821192052980133,0.4821377536438982,0.31788079470198677,0.31788079470198677,302,0,
5_D_Mk,few_shot,few_shot,0.7384105960264901,0.558463189843432,0.26158940397350994,0.26158940397350994,302,0,
5_Dm_Ma,zero_shot,zero_shot,0.47297297297297297,0.17419706042460548,0.5540540540540541,0.536036036036036,222,0,
5_Dm_Ma,few_shot,few_shot,0.4774774774774775,0.1671509736739386,0.7792792792792793,0.6081081081081081,222,0,
5_Dm_Mk,zero_shot,zero_shot,0.7117117117117117,0.6457069901053304,0.3153153153153153,0.2972972972972973,222,0,
5_Dm_Mk,few_shot,few_shot,0.7432432432432432,0.6991869918699187,0.28378378378378377,0.26576576576576577,222,0,
5_E_T_IV,zero_shot,zero_shot,0.6236559139784946,0.40391408386508654,0.5376344086021505,0.43010752688172044,279,0,
5_E_T_IV,few_shot,few_shot,0.7956989247311828,0.5795645471394177,0.3118279569892473,0.24014336917562723,279,0,
6_D_Rb,zero_shot,zero_shot,0.7205882352941176,0.340040650406504,0.5617647058823529,0.3735294117647059,340,0,
6_D_Rb,few_shot,few_shot,0.8647058823529412,0.8338916806253489,0.20588235294117646,0.1588235294117647,340,0,
6_D_kA,zero_shot,zero_shot,0.8029411764705883,0.224516394567156,0.3911764705882353,0.26176470588235295,340,0,
6_D_kA,few_shot,few_shot,0.7852941176470588,0.3765990107453522,0.5058823529411764,0.31176470588235294,340,0,
6_Dm_Rb,zero_shot,zero_shot,0.5260869565217391,0.4913453836241424,0.5521739130434783,0.5,230,0,
6_Dm_Rb,few_shot,few_shot,0.5782608695652174,0.5617855198693522,0.48695652173913045,0.4434782608695652,230,0,
6_Dm_kA,zero_shot,zero_shot,0.5,0.30566967953985213,0.7347826086956522,0.5782608695652174,230,0,
6_Dm_kA,few_shot,few_shot,0.6260869565217392,0.3701226309921962,0.49130434782608695,0.41304347826086957,230,0,
6_E_T_IV,zero_shot,zero_shot,0.5705329153605015,0.20925570667988702,0.7210031347962382,0.5266457680250783,319,0,
6_E_T_IV,few_shot,few_shot,0.6551724137931034,0.3196293299992645,0.6363636363636364,0.44200626959247646,319,0,
